Ensembl_id	Padj
ENSG00000130940	0
ENSG00000213316	0
ENSG00000108984	0
ENSG00000125148	0
ENSG00000215375	0
ENSG00000138617	0
ENSG00000160972	0
ENSG00000177954	0
ENSG00000215039	3.68512E-12
ENSG00000154358	3.99221E-12
ENSG00000069020	4.35514E-12
ENSG00000119383	4.79066E-12
ENSG00000145901	5.32295E-12
ENSG00000170634	6.8438E-12
ENSG00000170525	9.58131E-12
ENSG00000158604	3.29358E-11
ENSG00000141298	3.38164E-11
ENSG00000111907	3.99221E-11
ENSG00000211644	4.28638E-11
ENSG00000185024	7.42552E-11
ENSG00000164093	1.6114E-10
ENSG00000072818	1.68814E-10
ENSG00000135363	2.56196E-10
ENSG00000153944	7.14606E-10
ENSG00000113648	1.39482E-09
ENSG00000166272	1.40462E-09
ENSG00000144837	1.82577E-09
ENSG00000104763	1.87862E-09
ENSG00000164692	2.06824E-09
ENSG00000198947	3.20675E-09
ENSG00000152061	3.22519E-09
ENSG00000099968	3.29394E-09
ENSG00000143171	3.31513E-09
ENSG00000178057	4.13546E-09
ENSG00000127914	4.65471E-09
ENSG00000159173	4.65652E-09
ENSG00000105258	4.72545E-09
ENSG00000156482	4.73556E-09
ENSG00000122574	4.74766E-09
ENSG00000132386	4.84108E-09
ENSG00000170889	4.88764E-09
ENSG00000128789	4.94578E-09
ENSG00000173727	7.59932E-09
ENSG00000055609	7.70534E-09
ENSG00000169554	7.95568E-09
ENSG00000054654	8.55445E-09
ENSG00000183091	9.66304E-09
ENSG00000148219	9.7854E-09
ENSG00000105968	9.82769E-09
ENSG00000086666	9.87275E-09
ENSG00000168530	9.87895E-09
ENSG00000107902	1.03053E-08
ENSG00000197746	1.04436E-08
ENSG00000170801	1.14328E-08
ENSG00000113140	1.34339E-08
ENSG00000013563	1.6236E-08
ENSG00000184076	1.97728E-08
ENSG00000277791	2.28547E-08
ENSG00000130635	2.3527E-08
ENSG00000111912	2.79295E-08
ENSG00000129038	3.33147E-08
ENSG00000125970	3.37293E-08
ENSG00000102189	3.51239E-08
ENSG00000135838	3.96112E-08
ENSG00000099958	4.23988E-08
ENSG00000081791	4.2485E-08
ENSG00000183207	4.33311E-08
ENSG00000165609	5.85313E-08
ENSG00000112514	5.93354E-08
ENSG00000137198	5.9682E-08
ENSG00000164172	6.94288E-08
ENSG00000138785	7.87459E-08
ENSG00000175550	7.93393E-08
ENSG00000132463	8.89418E-08
ENSG00000115364	1.09682E-07
ENSG00000231500	1.1653E-07
ENSG00000136717	1.36583E-07
ENSG00000116194	1.3772E-07
ENSG00000109861	1.92949E-07
ENSG00000160124	1.96195E-07
ENSG00000131446	2.01814E-07
ENSG00000075624	2.03741E-07
ENSG00000178307	2.0836E-07
ENSG00000118181	2.14974E-07
ENSG00000138326	2.30421E-07
ENSG00000250722	2.75716E-07
ENSG00000136521	2.90581E-07
ENSG00000113296	2.91634E-07
ENSG00000145819	3.47474E-07
ENSG00000135046	3.85596E-07
ENSG00000102393	4.1238E-07
ENSG00000183696	4.21617E-07
ENSG00000177030	4.98172E-07
ENSG00000161526	5.05878E-07
ENSG00000168724	5.29265E-07
ENSG00000151914	5.29894E-07
ENSG00000163322	5.49037E-07
ENSG00000184990	5.58506E-07
ENSG00000100697	6.42871E-07
ENSG00000176046	6.59418E-07
ENSG00000163931	6.59959E-07
ENSG00000141367	6.71038E-07
ENSG00000178035	6.76124E-07
ENSG00000110492	7.03587E-07
ENSG00000072135	7.54402E-07
ENSG00000140990	7.85886E-07
ENSG00000160299	8.17739E-07
ENSG00000176597	8.65443E-07
ENSG00000168386	9.33279E-07
ENSG00000155330	9.53326E-07
ENSG00000146054	1.12528E-06
ENSG00000189058	1.17525E-06
ENSG00000164327	1.18363E-06
ENSG00000128487	1.26707E-06
ENSG00000102226	1.30194E-06
ENSG00000165912	1.34363E-06
ENSG00000164674	1.43769E-06
ENSG00000157637	1.44711E-06
ENSG00000023572	1.52702E-06
ENSG00000246695	1.57102E-06
ENSG00000184640	1.70502E-06
ENSG00000042493	1.77996E-06
ENSG00000198363	2.43377E-06
ENSG00000012061	2.53062E-06
ENSG00000250222	2.54556E-06
ENSG00000104825	2.8239E-06
ENSG00000239883	2.83142E-06
ENSG00000197965	3.26448E-06
ENSG00000170624	3.5667E-06
ENSG00000168273	3.57353E-06
ENSG00000188026	3.59493E-06
ENSG00000115295	3.89061E-06
ENSG00000127603	4.12314E-06
ENSG00000203930	4.13768E-06
ENSG00000128918	4.51372E-06
ENSG00000153310	4.62957E-06
ENSG00000276550	4.70818E-06
ENSG00000078403	4.73642E-06
ENSG00000083544	4.95568E-06
ENSG00000120963	4.9765E-06
ENSG00000176978	5.5869E-06
ENSG00000188342	5.62963E-06
ENSG00000229117	5.66149E-06
ENSG00000163092	5.83611E-06
ENSG00000137496	6.02916E-06
ENSG00000150093	6.03359E-06
ENSG00000165192	6.0982E-06
ENSG00000114127	6.11622E-06
ENSG00000197043	6.25863E-06
ENSG00000163444	6.68268E-06
ENSG00000145414	7.16293E-06
ENSG00000134779	7.5035E-06
ENSG00000187955	7.5455E-06
ENSG00000109083	7.65774E-06
ENSG00000070010	7.7837E-06
ENSG00000177885	7.81134E-06
ENSG00000131188	7.82236E-06
ENSG00000138496	7.84731E-06
ENSG00000113312	7.91445E-06
ENSG00000196296	7.92365E-06
ENSG00000204842	7.94742E-06
ENSG00000106333	9.63846E-06
ENSG00000154258	9.69285E-06
ENSG00000114850	9.69785E-06
ENSG00000162894	9.7037E-06
ENSG00000238045	1.0045E-05
ENSG00000134318	1.00688E-05
ENSG00000079308	1.03243E-05
ENSG00000152242	1.13472E-05
ENSG00000135837	1.1395E-05
ENSG00000090581	1.1529E-05
ENSG00000145725	1.20962E-05
ENSG00000169398	1.22704E-05
ENSG00000140105	1.30774E-05
ENSG00000095203	1.31165E-05
ENSG00000182809	1.312E-05
ENSG00000140299	1.39742E-05
ENSG00000142661	1.40074E-05
ENSG00000135930	1.41381E-05
ENSG00000108669	1.46958E-05
ENSG00000224032	1.48561E-05
ENSG00000143776	1.52907E-05
ENSG00000124313	1.55718E-05
ENSG00000245750	1.5761E-05
ENSG00000144591	1.57825E-05
ENSG00000104529	1.57875E-05
ENSG00000198924	1.58161E-05
ENSG00000089157	1.58339E-05
ENSG00000130595	1.59947E-05
ENSG00000113448	1.67692E-05
ENSG00000134531	1.72117E-05
ENSG00000078043	1.75581E-05
ENSG00000131495	1.81776E-05
ENSG00000173113	1.83876E-05
ENSG00000108953	1.93333E-05
ENSG00000168884	1.94496E-05
ENSG00000169696	1.95508E-05
ENSG00000166295	2.16977E-05
ENSG00000135506	2.21313E-05
ENSG00000120049	2.21742E-05
ENSG00000198791	2.31343E-05
ENSG00000028528	2.36827E-05
ENSG00000171992	2.41861E-05
ENSG00000126858	2.42917E-05
ENSG00000197386	2.442E-05
ENSG00000136235	2.50111E-05
ENSG00000189350	2.50169E-05
ENSG00000106683	2.56404E-05
ENSG00000187954	2.57115E-05
ENSG00000078668	2.63734E-05
ENSG00000129003	2.65516E-05
ENSG00000138162	2.79031E-05
ENSG00000140497	2.84838E-05
ENSG00000237422	2.85532E-05
ENSG00000135439	2.86341E-05
ENSG00000118640	2.89573E-05
ENSG00000165476	2.93674E-05
ENSG00000118407	2.97794E-05
ENSG00000112531	3.00067E-05
ENSG00000161203	3.00113E-05
ENSG00000167703	3.00174E-05
ENSG00000102531	3.01208E-05
ENSG00000100664	3.02143E-05
ENSG00000170290	3.10147E-05
ENSG00000186439	3.11253E-05
ENSG00000129170	3.1547E-05
ENSG00000163050	3.15815E-05
ENSG00000165804	3.26026E-05
ENSG00000173171	3.31236E-05
ENSG00000129636	3.33022E-05
ENSG00000072501	3.4183E-05
ENSG00000115464	3.42467E-05
ENSG00000169756	3.42821E-05
ENSG00000131127	3.51245E-05
ENSG00000026025	3.5164E-05
ENSG00000100416	3.60646E-05
ENSG00000138658	3.6153E-05
ENSG00000159377	3.65722E-05
ENSG00000104419	3.69918E-05
ENSG00000141959	3.72474E-05
ENSG00000172995	3.738E-05
ENSG00000017260	3.75314E-05
ENSG00000135090	3.77386E-05
ENSG00000067225	4.01999E-05
ENSG00000174695	4.12916E-05
ENSG00000173848	4.23283E-05
ENSG00000140688	4.24121E-05
ENSG00000148429	4.25347E-05
ENSG00000158856	4.25711E-05
ENSG00000066651	4.3218E-05
ENSG00000248323	4.45523E-05
ENSG00000001497	4.5309E-05
ENSG00000169231	4.75664E-05
ENSG00000115414	4.85245E-05
ENSG00000142669	4.87708E-05
ENSG00000189180	4.99319E-05
ENSG00000125744	5.17543E-05
ENSG00000140199	5.31913E-05
ENSG00000152818	5.36526E-05
ENSG00000157106	5.46905E-05
ENSG00000130177	5.473E-05
ENSG00000157873	5.50977E-05
ENSG00000133454	5.59081E-05
ENSG00000213064	5.59084E-05
ENSG00000184009	5.6014E-05
ENSG00000127838	5.7597E-05
ENSG00000107929	5.78532E-05
ENSG00000101608	5.89347E-05
ENSG00000104852	6.00089E-05
ENSG00000002822	6.21481E-05
ENSG00000187764	6.22498E-05
ENSG00000234608	6.53653E-05
ENSG00000159023	6.56891E-05
ENSG00000164111	6.58265E-05
ENSG00000087085	6.64775E-05
ENSG00000253320	6.66369E-05
ENSG00000160746	6.72473E-05
ENSG00000107262	6.7415E-05
ENSG00000013441	7.03599E-05
ENSG00000004455	7.15059E-05
ENSG00000109270	7.39212E-05
ENSG00000163170	7.49463E-05
ENSG00000067191	7.5388E-05
ENSG00000091164	7.6713E-05
ENSG00000140943	7.6979E-05
ENSG00000156467	7.74049E-05
ENSG00000165671	7.83093E-05
ENSG00000147548	7.84857E-05
ENSG00000181163	7.89725E-05
ENSG00000105048	7.90052E-05
ENSG00000176014	7.90656E-05
ENSG00000186335	7.91405E-05
ENSG00000197958	7.98851E-05
ENSG00000110079	8.10137E-05
ENSG00000100029	8.16089E-05
