Ensembl_id	log2FoldChange	
ENSG00000006459	-1.687937743	
ENSG00000108679	2.59137332	
ENSG00000164342	2.288935513	
ENSG00000033627	-1.764944984	
ENSG00000140968	3.891404479	
ENSG00000155465	3.159187075	
ENSG00000127951	3.267236577	
ENSG00000166710	2.290265427	
ENSG00000198336	5.441895458	
ENSG00000156587	2.468910921	
ENSG00000005206	-1.66221388	
ENSG00000167552	2.498136901	
ENSG00000090447	-1.517403737	
ENSG00000204287	3.251111524	
ENSG00000176887	4.028087481	
ENSG00000196743	1.585227679	
ENSG00000177169	-1.555140114	
ENSG00000248587	-3.269248886	
ENSG00000275385	6.572250103	
ENSG00000187616	5.308497763	
ENSG00000206337	3.185619729	
ENSG00000234745	2.395850026	
ENSG00000211592	6.066025795	
ENSG00000276600	2.376328885	
ENSG00000065491	-1.617329968	
ENSG00000139193	4.51730293	
ENSG00000132465	5.914413087	
ENSG00000234771	-1.641063835	
ENSG00000246223	3.640727398	
ENSG00000198910	3.03762564	
ENSG00000196735	3.470879201	
ENSG00000221963	2.47718065	
ENSG00000244165	-1.694806542	
ENSG00000143494	3.712726385	
ENSG00000181374	5.347959287	
ENSG00000068079	1.999680441	
ENSG00000204264	2.748669352	
ENSG00000187474	3.844669332	
ENSG00000223865	3.027528839	
ENSG00000196126	2.664937311	
ENSG00000204252	3.337118435	
ENSG00000019582	2.562975489	
ENSG00000111801	2.323649582	
ENSG00000231389	3.037026749	
ENSG00000003402	-1.588520755	
ENSG00000132688	2.673166578	
ENSG00000204257	2.33339386	
ENSG00000253755	6.577173907	
ENSG00000138755	5.083020876	
ENSG00000169245	4.965566449	
ENSG00000205436	3.586025477	
ENSG00000169248	4.788041346	
ENSG00000240065	2.651315085	
ENSG00000133321	3.494695106	
ENSG00000109062	2.451921039	
ENSG00000133316	-1.663909344	
ENSG00000106066	2.684673531	
ENSG00000172296	2.29233943	
ENSG00000173208	5.004280695	
ENSG00000144677	1.678525842	
ENSG00000119922	2.028477039	
ENSG00000175906	1.910130401	
ENSG00000102524	3.165876886	
ENSG00000026751	4.134610863	
ENSG00000156804	-2.40765306	
ENSG00000211896	5.899643359	
ENSG00000186470	2.493435787	
ENSG00000102445	2.687674909	
ENSG00000198829	4.947507264	
ENSG00000102575	3.573804656	
ENSG00000145703	2.727056142	
ENSG00000244509	2.50081911	
ENSG00000211677	5.089612076	
ENSG00000256262	4.19297315	
ENSG00000153563	4.004043587	
ENSG00000158714	4.205529534	
ENSG00000183347	5.619355504	
ENSG00000000005	4.654898406	
ENSG00000026950	2.218536008	
ENSG00000117215	6.548893199	
ENSG00000113088	4.521089675	
ENSG00000243466	5.988622956	
ENSG00000239922	4.671823921	
ENSG00000090382	3.662801995	
ENSG00000150750	-3.518055725	
ENSG00000183783	-3.068840563	
ENSG00000176014	2.393870422	
ENSG00000145569	2.912174291	
ENSG00000106484	3.725366929	
ENSG00000267632	-1.76373813	
ENSG00000159588	-1.5787391	
ENSG00000178035	-1.5690978	
ENSG00000166278	3.059731884	
ENSG00000010610	3.054800723	
ENSG00000226025	4.085939296	
ENSG00000161405	3.632479622	
ENSG00000277734	3.665792979	
ENSG00000172361	-2.392421388	
ENSG00000182667	3.363838832	
ENSG00000211899	5.234867217	
ENSG00000272894	-2.081856904	
ENSG00000205959	-1.786546919	
ENSG00000205482	-1.588865938	
ENSG00000280734	2.032320563	
ENSG00000169087	-1.56550036	
ENSG00000089127	2.216481311	
ENSG00000166682	-1.716110576	
ENSG00000132514	3.26723076	
ENSG00000271503	3.666327421	
ENSG00000154451	4.080313615	
ENSG00000064787	3.838397791	
ENSG00000165140	2.728061265	
ENSG00000188747	-2.286227504	
ENSG00000166963	2.929787967	
ENSG00000253123	3.787853566	
ENSG00000274124	-3.339249091	
ENSG00000128606	2.313616946	
ENSG00000115415	2.69068795	
ENSG00000145416	2.938897272	
ENSG00000011105	1.702303402	
ENSG00000136514	2.167818507	
ENSG00000179057	4.994489359	
ENSG00000121807	3.678333274	
ENSG00000147168	3.129404628	
ENSG00000181195	4.281026468	
ENSG00000241351	7.566973137	
ENSG00000242574	2.551125619	
ENSG00000110324	2.727707843	
ENSG00000160654	3.732590072	
ENSG00000162745	2.635484357	
ENSG00000167286	3.557296938	
ENSG00000156234	6.553367611	
ENSG00000130487	4.829427526	
ENSG00000110446	1.928898952	
ENSG00000196664	3.62930452	
ENSG00000151468	2.324481811	
ENSG00000130592	1.933178096	
ENSG00000160791	4.099861501	
ENSG00000106785	2.576917184	
ENSG00000171860	2.958078176	
ENSG00000010030	3.585414162	
ENSG00000244437	5.759755923	
ENSG00000241644	1.901782273	
ENSG00000173198	2.76689682	
ENSG00000148468	1.804034938	
ENSG00000239951	5.997671006	
ENSG00000211751	3.37350615	
ENSG00000133328	3.926406368	
ENSG00000118242	2.60463385	
ENSG00000117632	1.902539654	
ENSG00000167642	2.694368892	
ENSG00000211679	6.145355069	
ENSG00000102878	-1.67847986	
ENSG00000109063	3.917521938	
ENSG00000118194	3.374064964	
ENSG00000091129	3.066308289	
ENSG00000268516	2.373466037	
ENSG00000274227	-1.809204571	
ENSG00000105967	3.567401412	
ENSG00000204642	2.252779164	
ENSG00000186567	-1.92005065	
ENSG00000244945	-2.246780825	
ENSG00000023445	2.134114549	
ENSG00000156966	3.138316689	
ENSG00000169696	-1.603405804	
ENSG00000121005	4.090422613	
ENSG00000117228	3.079100871	
ENSG00000181092	5.495688163	
ENSG00000139329	2.697609451	
ENSG00000163815	2.435601866	
ENSG00000152766	5.98846322	
ENSG00000168004	4.678053081	
ENSG00000119917	2.262391802	
ENSG00000211949	5.257324741	
ENSG00000116824	3.571060701	
ENSG00000165197	-1.770915411	
ENSG00000106823	2.818816476	
ENSG00000197646	2.147022911	
ENSG00000005249	4.343782444	
ENSG00000158258	2.421032876	
ENSG00000183578	2.880158202	
ENSG00000204525	2.121228264	
ENSG00000171227	3.305001545	
ENSG00000217648	2.502582289	
ENSG00000211897	6.259871489	
ENSG00000163131	2.592402135	
ENSG00000145779	2.623929356	
ENSG00000138316	3.556862103	
ENSG00000100342	2.308835146	
ENSG00000163449	2.983120901	
ENSG00000169413	2.925118726	
ENSG00000168546	2.884424069	
ENSG00000254838	2.640339052	
ENSG00000213199	-1.686664689	
ENSG00000198133	2.611743239	
ENSG00000239713	2.6967205	
ENSG00000154265	-1.524431387	
ENSG00000250208	1.943565476	
ENSG00000170476	4.430224203	
ENSG00000131067	-2.44403357	
ENSG00000106809	3.470276061	
ENSG00000162739	3.35053068	
ENSG00000104324	1.74878321	
ENSG00000224389	2.95544892	
ENSG00000204136	2.372215458	
ENSG00000126709	2.263625738	
ENSG00000100079	4.766306676	
ENSG00000138496	1.736168453	
ENSG00000124203	3.547859044	
ENSG00000112297	2.599849054	
ENSG00000172215	5.069817445	
ENSG00000169442	3.185480339	
ENSG00000198300	2.21858832	
ENSG00000168389	3.007728204	
ENSG00000161921	2.204388222	
ENSG00000254709	5.475820194	
ENSG00000165548	3.398913108	
ENSG00000165949	2.127647029	
ENSG00000151790	4.374750736	
ENSG00000196154	2.5337551	
ENSG00000165025	2.457171534	
ENSG00000166676	3.534437525	
ENSG00000255690	2.079475027	
ENSG00000211598	5.319966782	
ENSG00000099377	1.549657542	
ENSG00000101825	2.93743531	
ENSG00000134323	2.263348235	
ENSG00000219607	1.734644435	
ENSG00000213892	3.456575364	
ENSG00000107821	2.338597116	
ENSG00000152495	3.415241964	
ENSG00000182636	1.708568481	
