Geneid	IBM1	IBM2	IBM3	IBM4	IBM5	IBM7	IBM8	IBM9	IBM10	IBM11	IBM12	IBM13	IBM14	IBM15	IBM16	IBM17	IBM18	IBM19	IBM20	IBM21	IBM22	IBM23	IBM24	IBM25	TMD1	TMD2	TMD3	TMD4	TMD5	TMD9	AMP1	AMP2	AMP4	AMP5	AMP6	AMP7	AMP8	AMP9	AMP10
ENSG00000243485.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009.6	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	2	0	0	0	1
ENSG00000239945.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239906.1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5
ENSG00000241860.6	0	0	1	7	5	7	9	4	3	2	5	0	1	7	1	3	6	2	1	4	0	2	0	7	1	3	10	2	10	0	0	6	3	4	1	8	0	4	6
ENSG00000241599.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235146.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229905.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237491.8	14	14	19	22	35	23	9	24	11	25	26	11	4	12	10	4	6	33	7	12	11	8	18	23	15	24	22	13	16	16	8	36	17	37	21	11	16	14	49
ENSG00000177757.2	5	6	0	3	3	24	0	2	2	0	21	2	0	1	4	3	1	17	0	3	3	0	2	1	0	4	1	1	1	0	6	0	1	1	1	3	1	0	5
ENSG00000228794.8	754	288	204	565	1232	746	1651	362	1951	1331	446	317	543	844	1334	1131	1472	854	126	876	1031	1945	1213	711	2656	3418	2760	2711	2663	1326	879	2842	772	1334	1752	1879	447	2053	1948
ENSG00000225880.5	16	11	12	15	29	25	16	23	23	14	21	11	13	17	25	12	10	33	12	20	7	11	14	35	20	14	25	19	21	15	46	30	34	47	30	20	11	48	60
ENSG00000230368.2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0
ENSG00000272438.1	2	3	0	0	0	1	0	1	0	0	2	3	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000230699.2	0	5	0	0	2	1	0	3	1	0	5	1	0	0	0	0	0	0	1	4	0	1	0	0	0	1	1	0	0	0	0	2	1	0	0	0	1	0	1
ENSG00000241180.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000223764.2	47	169	15	54	45	19	42	516	34	34	255	69	15	31	33	66	49	96	73	124	24	21	18	157	6	2	8	13	22	15	13	225	57	0	4	4	4	21	2
ENSG00000272512.1	6	17	12	34	22	40	18	26	25	22	169	16	0	9	2	14	13	40	39	11	5	22	13	36	8	25	12	19	12	14	74	30	37	4	22	53	11	8	28
ENSG00000224969.1	0	0	0	0	0	2	0	0	0	0	1	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
ENSG00000242590.1	78	269	98	196	133	438	117	221	111	130	855	288	44	110	99	95	88	553	149	139	164	117	106	284	55	71	66	50	70	59	156	76	187	82	93	100	94	115	73
ENSG00000273443.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285812.1	0	0	1	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000223823.1	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272141.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205231.1	0	2	3	3	1	22	3	0	3	2	10	1	1	0	2	0	2	21	3	0	0	3	4	1	2	1	8	0	4	0	3	3	2	0	2	6	4	1	4
ENSG00000260179.1	1	5	0	13	7	14	4	0	4	2	8	4	2	3	4	1	2	7	2	3	3	1	2	8	5	5	4	2	4	2	21	6	9	17	12	23	8	24	9
ENSG00000230415.1	12	15	6	26	28	36	15	30	23	42	30	4	7	17	21	7	9	39	9	20	10	20	21	26	28	37	26	13	36	12	8	29	43	27	44	21	24	15	46
ENSG00000240731.1	30	48	10	83	124	64	76	82	128	156	67	12	20	44	95	26	59	116	47	63	62	84	79	97	88	191	125	75	105	56	18	185	105	108	165	100	11	84	245
ENSG00000224870.6	184	249	74	290	437	466	215	532	393	280	366	304	69	308	388	268	286	527	110	301	290	375	296	785	174	136	215	203	201	204	207	480	330	252	320	364	334	326	385
ENSG00000272455.1	23	43	12	44	50	42	25	73	46	42	71	30	4	48	29	11	12	91	21	36	15	21	29	79	38	38	42	13	38	24	76	25	32	69	14	35	58	103	75
ENSG00000225905.1	5	16	0	6	8	17	3	8	10	8	10	13	2	5	3	3	8	8	6	8	4	3	6	12	3	10	8	4	4	1	5	4	14	5	3	0	0	1	1
